,Genotype,Stage,Sample,CIDR2,Count,CountN
0,AA,Ring,AA01,CIDRa,4803.003000000002,37.307792748699434
1,AA,Ring,AA01,CIDRb,3116.5940000000005,24.208446889131682
2,AA,Ring,AA01,CIDRpam,654.0000000000001,5.080008581641407
3,AA,Ring,AA01,CIDRg,430.6349999999999,3.3449992286775942
4,AA,Ring,AA01,CIDRd,10.0,0.07767597219635179
5,AA,Ring,AA02,CIDRa,13234.996999999996,56.09951254662595
6,AA,Ring,AA02,CIDRb,4951.251,20.986991353001013
7,AA,Ring,AA02,CIDRg,2243.9139999999993,9.511334350627326
8,AA,Ring,AA02,CIDRd,209.149,0.8865250932519497
9,AA,Ring,AA02,CIDRpam,165.999,0.7036241098677516
10,AA,Trophozoite,AA03,CIDRa,47818.998000000014,39.062702587897
11,AA,Trophozoite,AA03,CIDRb,24045.481000000014,19.64243317866946
12,AA,Trophozoite,AA03,CIDRg,5723.766,4.675668213305449
13,AA,Trophozoite,AA03,CIDRpam,89.0,0.0727029146516795
14,AA,Trophozoite,AA03,CIDRd,35.483,0.02898559011893869
15,AA,Trophozoite,AA04,CIDRa,10296.999000000002,37.93750593867371
16,AA,Trophozoite,AA04,CIDRb,6054.464000000003,22.306621954171916
17,AA,Trophozoite,AA04,CIDRg,1044.6799999999998,3.8489421727644766
18,AA,Trophozoite,AA04,CIDRpam,65.999,0.24316186244618707
19,AA,Trophozoite,AA04,CIDRd,20.001,0.07369021365151272
20,AA,Ring,AA05,CIDRa,24053.001000000004,43.87952444981303
21,AA,Ring,AA05,CIDRb,12096.248000000007,22.06700152995471
22,AA,Ring,AA05,CIDRg,4568.022000000001,8.333373163551768
23,AA,Ring,AA05,CIDRpam,1406.9989999999998,2.5667669086848024
24,AA,Ring,AA05,CIDRd,211.99900000000002,0.3867465562337071
25,AA,Mixed,AA06,CIDRb,4712.531000000001,20.382916905330863
26,AA,Mixed,AA06,CIDRa,4490.004000000005,19.420430005999595
27,AA,Mixed,AA06,CIDRpam,1426.0010000000002,6.16782359414054
28,AA,Mixed,AA06,CIDRg,461.245,1.9950040663922066
29,AA,Mixed,AA06,CIDRd,9.0,0.03892733058901421
30,AA,Ring,AA07,CIDRa,6780.001000000002,37.56233449098808
31,AA,Ring,AA07,CIDRb,4147.393000000001,22.97724781037385
32,AA,Ring,AA07,CIDRg,2006.84,11.118227762782704
33,AA,Ring,AA07,CIDRpam,513.0,2.842105420615259
34,AA,Ring,AA07,CIDRd,214.20299999999997,1.1867202873529246
35,AA,Trophozoite,AA08,CIDRa,14480.004000000008,31.12840858398308
36,AA,Trophozoite,AA08,CIDRb,14086.426000000003,30.282313735275373
37,AA,Trophozoite,AA08,CIDRg,1743.192,3.7474294079152606
38,AA,Trophozoite,AA08,CIDRd,1507.5379999999998,3.240831896170792
39,AA,Trophozoite,AA08,CIDRpam,169.00099999999998,0.3633101330014633
40,AA,Ring,AA09,CIDRa,9247.001000000004,44.375666780673164
