,Genotype_x,Sample,ATStype,Count_x,Genotype_y,Stage,DBLbtype,Count_y,CountN
0,AA,AA01,ATS,12873.994000000004,AA,Ring,DBLb1,771.3019999999999,5.991163270699051
1,AA,AA01,ATS,12873.994000000004,AA,Ring,DBLb5,415.296,3.2258520549256113
2,AA,AA01,ATS,12873.994000000004,AA,Ring,DBLb,363.83,2.8260848964198666
3,AA,AA01,ATS,12873.994000000004,AA,Ring,DBLb3,203.04000000000005,1.577132939474727
4,AA,AA01,ATS,12873.994000000004,AA,Ring,DBLb4,49.794,0.38677973595451404
5,AA,AA01,ATS,12873.994000000004,AA,Ring,DBLb2,9.743,0.07567969971090555
6,AA,AA02,ATS,23592.000000000004,AA,Ring,DBLb5,3676.9220000000005,15.585461173279077
7,AA,AA02,ATS,23592.000000000004,AA,Ring,DBLb1,3468.7619999999997,14.70312817904374
8,AA,AA02,ATS,23592.000000000004,AA,Ring,DBLb,1994.6860000000001,8.454925398440148
9,AA,AA02,ATS,23592.000000000004,AA,Ring,DBLb3,1784.6350000000002,7.564576975245846
10,AA,AA02,ATS,23592.000000000004,AA,Ring,DBLb2,334.175,1.416475924042048
11,AA,AA02,ATS,23592.000000000004,AA,Ring,DBLb4,33.809999999999995,0.14331129196337736
12,AA,AA03,ATS,122416.00000000004,AA,Trophozoite,DBLb1,6918.815,5.651887825120897
13,AA,AA03,ATS,122416.00000000004,AA,Trophozoite,DBLb5,4260.856000000001,3.4806365181022083
14,AA,AA03,ATS,122416.00000000004,AA,Trophozoite,DBLb,3630.8680000000004,2.9660077114102723
15,AA,AA03,ATS,122416.00000000004,AA,Trophozoite,DBLb3,3557.4570000000003,2.9060392432361777
16,AA,AA03,ATS,122416.00000000004,AA,Trophozoite,DBLb4,889.464,0.7265912952555219
17,AA,AA03,ATS,122416.00000000004,AA,Trophozoite,DBLb2,500.21,0.4086148869428831
18,AA,AA04,ATS,27142.00300000001,AA,Trophozoite,DBLb1,1788.3329999999996,6.588802602372415
19,AA,AA04,ATS,27142.00300000001,AA,Trophozoite,DBLb,1184.2520000000002,4.363170986312246
