,Genotype_x,Sample,ATStype,Count_x,Genotype_y,Stage,DBL,Count_y,CountN
0,AA,AA01,ATS,12873.994000000004,AA,Ring,DBLd,12261.631999999996,95.2434186313897
1,AA,AA01,ATS,12873.994000000004,AA,Ring,DBLa,11026.241000000004,85.64739893462743
2,AA,AA01,ATS,12873.994000000004,AA,Ring,DBLe,4676.438000000001,36.324686806596304
3,AA,AA01,ATS,12873.994000000004,AA,Ring,DBLpam,4314.0,33.50941440550616
4,AA,AA01,ATS,12873.994000000004,AA,Ring,DBLb,1813.0049999999994,14.082692597184671
5,AA,AA01,ATS,12873.994000000004,AA,Ring,DBLg,806.4470000000001,6.264155474983131
6,AA,AA01,ATS,12873.994000000004,AA,Ring,DBLz,86.996,0.6757498877193819
7,AA,AA02,ATS,23592.000000000004,AA,Ring,DBLd,29520.343999999997,125.12861987114272
8,AA,AA02,ATS,23592.000000000004,AA,Ring,DBLa,26260.845999999983,111.3125042387249
9,AA,AA02,ATS,23592.000000000004,AA,Ring,DBLb,11292.990000000005,47.86787894201426
10,AA,AA02,ATS,23592.000000000004,AA,Ring,DBLg,7641.920000000001,32.39199728721601
11,AA,AA02,ATS,23592.000000000004,AA,Ring,DBLe,2227.6090000000004,9.442221939640556
12,AA,AA02,ATS,23592.000000000004,AA,Ring,DBLpam,1256.0,5.323838589352322
13,AA,AA02,ATS,23592.000000000004,AA,Ring,DBLz,1165.0,4.938114615123769
14,AA,AA03,ATS,122416.00000000004,AA,Trophozoite,DBLa,92444.54399999994,75.51671676904972
15,AA,AA03,ATS,122416.00000000004,AA,Trophozoite,DBLd,70777.16600000001,57.81692425826688
16,AA,AA03,ATS,122416.00000000004,AA,Trophozoite,DBLb,19757.669999999995,16.139777480067956
17,AA,AA03,ATS,122416.00000000004,AA,Trophozoite,DBLg,14254.640999999996,11.644426382172258
18,AA,AA03,ATS,122416.00000000004,AA,Trophozoite,DBLe,13747.508000000002,11.230156188733496
19,AA,AA03,ATS,122416.00000000004,AA,Trophozoite,DBLz,6541.7300000000005,5.343852110835184
20,AA,AA03,ATS,122416.00000000004,AA,Trophozoite,DBLpam,490.9989999999999,0.401090543719775
21,AA,AA04,ATS,27142.00300000001,AA,Trophozoite,DBLd,24910.809999999987,91.77955657878299
22,AA,AA04,ATS,27142.00300000001,AA,Trophozoite,DBLa,18873.05500000001,69.53449603553578
23,AA,AA04,ATS,27142.00300000001,AA,Trophozoite,DBLb,5033.648000000003,18.545602548198083
24,AA,AA04,ATS,27142.00300000001,AA,Trophozoite,DBLg,1970.5419999999997,7.260120043461785
