"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"ATSA1_D10_HB3var06",9.874,37.119,507.745,41.013,51.557,62.969,66.65,109.102,28.347,0,39.494,6.571,0,120.091,2.149,474.256,17.184,49.158,457.7,321.204,422.58,4.539,8.464,5.231,3.708,0,0,73.245,31.892,5.707,93.635,569.331
"ATSA1_D4_PFCLINvar34",4.077,12.654,0,14.643,4.343,3.31,0,0,27.905,21.361,0,0,2.236,0,0,0,6.064,54.997,0,0,0,0,0,0,0,0,127.863,56.977,0,92.44,14.961,0
"ATSA1_D6_AAQ73927",5.273,23.016,0,0,127.671,23.661,142.135,2654.463,14.72,14.522,99.776,0,2.678,591.063,40.362,69.23,0,348.537,41.064,4547.862,484.092,110.441,2.033,1739.032,5.523,3825.191,74.467,1259.068,32.169,0,306,256.912
"ATSA1_D8_AAQ73928",33.578,113.854,394.903,66.714,87.558,9.45,237.882,3548.396,0,6.123,88.226,116.735,0,727.854,19.509,0,26.775,226.48,272.567,1180.177,407.512,93.426,32.923,2836.138,0,2360.305,21.18,339.043,14.786,193.958,826.2,48.382
"ATSA1_D8_IT4var60",5.208,47.651,276.899,16.231,6.775,58.391,189.146,11.112,1.711,0,5.597,4.189,0,21.429,8.596,8.026,20.663,17.556,23.305,40.502,176.972,6.993,9.686,1.589,2.453,9.854,5.218,52.514,64.394,46.58,216.041,143.856
"ATSA1_D9_IT4var08",0,12.168,44.646,17.436,58.711,7.167,83.592,32.892,3.938,0,8.156,15.471,0,149.057,0,1.111,2.48,23.679,19.611,26.071,89.417,12.311,1.895,1.374,0,317.229,1.489,17.682,0,148.784,6.866,318.338
"ATSA1_D9_PFCLINvar73",44.693,40.159,175.697,4.451,33.82,14.564,40.118,75.481,8.335,4.187,53.361,29.633,1.007,10.134,8.759,0,11.169,162.232,280.262,11.375,147.899,9.287,27.803,0,3.426,1.84,53.118,1.701,25.899,69.212,255.662,26.04
"ATSA1_D9_PFCLINvar75",0,51.133,28.395,26.142,37.627,18.37,39.13,190.786,148.255,0,24.82,17.607,1.059,40.41,0,0,16.755,254.732,86.368,25.149,420.382,17.043,25.809,0,0,1.224,269.625,23.048,19.557,198.232,84.658,33.817
"ATSA1_D9_PFD0020c",107.213,125.506,18.026,49.288,38.775,21.914,83.125,36.477,7.577,0,67.281,23.254,0,186.091,23.871,0,19.908,132.302,59.086,82.084,218.139,5.848,58.572,0,11.356,101.32,52.983,24.904,10.05,4.17,13.23,92.375
"ATSA2_D8_DD2var22",8.412,58.134,8.714,7.369,21.627,26.361,43.196,0,6.889,9.267,22.641,5.865,0,312.722,22.197,135.771,0,37.271,25.334,35.998,588.924,0,13.507,0,0,303.713,0,14.1,0,181.474,18.33,0
"ATSA2_D8_DD2var42",21.981,70.96,131.529,13.084,35.082,14.748,248.422,96.054,0,8.121,80.863,12.784,0,249.072,8.073,0,10.317,28.421,601.436,115.086,104.796,0,28.303,0,1.639,0,42.323,14.093,0,40.191,1.928,69.345
"ATSA2_D8_DD2var9b",18.804,35.019,413.294,20.369,27.625,20.932,115.162,125.132,75.25,4.886,58.564,0,0,356.784,92.021,53.9,21.783,123.86,290.564,236.227,1703.526,23.898,57.61,4.477,5.676,2.268,217.196,115.951,1.374,201.262,733.044,122.072
