,ORF,sampleName,ID,Patient,Genotype,Strain,HPI,GeneName,TPM,log10,Old name,ABC,CIDR,CIDRa
0,PF3D7_0412700,AA1301_3D7,AA13_3D7,AA13,AA,3D7,3,"erythrocyte membrane protein 1, PfEMP1 (VAR)",457.64309199999997,2.660526911188586,PFD0625c,C,a3.2,3
1,PF3D7_0412700,AA1302_3D7,AA13_3D7,AA13,AA,3D7,6,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1074.784119,3.0313212406773737,PFD0625c,C,a3.2,3
2,PF3D7_0412700,AA1303_3D7,AA13_3D7,AA13,AA,3D7,9,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1270.9410990000001,3.104125423904108,PFD0625c,C,a3.2,3
3,PF3D7_0412700,AA1304_3D7,AA13_3D7,AA13,AA,3D7,12,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2176.4261530000003,3.337743935959902,PFD0625c,C,a3.2,3
4,PF3D7_0412700,AA1305_3D7,AA13_3D7,AA13,AA,3D7,15,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1772.955781,3.2486979040683877,PFD0625c,C,a3.2,3
5,PF3D7_0412700,AA1306_3D7,AA13_3D7,AA13,AA,3D7,18,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2865.718102,3.4572334670218408,PFD0625c,C,a3.2,3
6,PF3D7_0412700,AA1307_3D7,AA13_3D7,AA13,AA,3D7,21,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1952.587022,3.2906103984173107,PFD0625c,C,a3.2,3
7,PF3D7_0412700,AA1308_3D7,AA13_3D7,AA13,AA,3D7,24,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2531.303234,3.4033441739866337,PFD0625c,C,a3.2,3
8,PF3D7_0412700,AA1309_3D7,AA13_3D7,AA13,AA,3D7,27,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2250.823352,3.3523414122541837,PFD0625c,C,a3.2,3
9,PF3D7_0412700,AA1310_3D7,AA13_3D7,AA13,AA,3D7,30,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2118.2840309999997,3.325984192233078,PFD0625c,C,a3.2,3
10,PF3D7_0412700,AA1311_3D7,AA13_3D7,AA13,AA,3D7,33,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1490.021994,3.1731926790178697,PFD0625c,C,a3.2,3
11,PF3D7_0412700,AA1312_3D7,AA13_3D7,AA13,AA,3D7,36,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1109.809665,3.045248502635194,PFD0625c,C,a3.2,3
12,PF3D7_0412700,AA1313_3D7,AA13_3D7,AA13,AA,3D7,39,"erythrocyte membrane protein 1, PfEMP1 (VAR)",351.492391,2.5459159279832098,PFD0625c,C,a3.2,3
13,PF3D7_0412700,AA1314_3D7,AA13_3D7,AA13,AA,3D7,42,"erythrocyte membrane protein 1, PfEMP1 (VAR)",290.69926200000003,2.4634439292257615,PFD0625c,C,a3.2,3
14,PF3D7_0412700,AA1315_3D7,AA13_3D7,AA13,AA,3D7,45,"erythrocyte membrane protein 1, PfEMP1 (VAR)",117.098522,2.068551413507076,PFD0625c,C,a3.2,3
15,PF3D7_0412700,AA1316_3D7,AA13_3D7,AA13,AA,3D7,48,"erythrocyte membrane protein 1, PfEMP1 (VAR)",88.724073,1.9480414704813056,PFD0625c,C,a3.2,3
16,PF3D7_0412700,AA1701_3D7,AA17_3D7,AA17,AA,3D7,3,"erythrocyte membrane protein 1, PfEMP1 (VAR)",482.16553799999997,2.6831961666567783,PFD0625c,C,a3.2,3
17,PF3D7_0412700,AA1702_3D7,AA17_3D7,AA17,AA,3D7,6,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1030.085909,3.012873446305936,PFD0625c,C,a3.2,3
18,PF3D7_0412700,AA1703_3D7,AA17_3D7,AA17,AA,3D7,9,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1844.193987,3.265806601670211,PFD0625c,C,a3.2,3
19,PF3D7_0412700,AA1704_3D7,AA17_3D7,AA17,AA,3D7,12,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2071.0061,3.316181378078599,PFD0625c,C,a3.2,3
20,PF3D7_0412700,AA1705_3D7,AA17_3D7,AA17,AA,3D7,15,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2130.095012,3.328398975395093,PFD0625c,C,a3.2,3
21,PF3D7_0412700,AA1706_3D7,AA17_3D7,AA17,AA,3D7,18,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2505.510189,3.39889617320002,PFD0625c,C,a3.2,3
22,PF3D7_0412700,AA1707_3D7,AA17_3D7,AA17,AA,3D7,21,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2490.957015,3.3963662332332643,PFD0625c,C,a3.2,3
23,PF3D7_0412700,AA1708_3D7,AA17_3D7,AA17,AA,3D7,24,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2528.859305,3.4029246677145677,PFD0625c,C,a3.2,3
24,PF3D7_0412700,AA1709_3D7,AA17_3D7,AA17,AA,3D7,27,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2304.050952,3.3624920788864903,PFD0625c,C,a3.2,3
25,PF3D7_0412700,AA1710_3D7,AA17_3D7,AA17,AA,3D7,30,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2061.687908,3.314222923754612,PFD0625c,C,a3.2,3
26,PF3D7_0412700,AA1711_3D7,AA17_3D7,AA17,AA,3D7,33,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1329.712593,3.1237577817471274,PFD0625c,C,a3.2,3
27,PF3D7_0412700,AA1712_3D7,AA17_3D7,AA17,AA,3D7,36,"erythrocyte membrane protein 1, PfEMP1 (VAR)",911.825033,2.959911511033886,PFD0625c,C,a3.2,3
28,PF3D7_0412700,AA1713_3D7,AA17_3D7,AA17,AA,3D7,39,"erythrocyte membrane protein 1, PfEMP1 (VAR)",491.545863,2.6915640452985343,PFD0625c,C,a3.2,3
29,PF3D7_0412700,AA1714_3D7,AA17_3D7,AA17,AA,3D7,42,"erythrocyte membrane protein 1, PfEMP1 (VAR)",299.399292,2.4762507690168643,PFD0625c,C,a3.2,3
30,PF3D7_0412700,AA1715_3D7,AA17_3D7,AA17,AA,3D7,45,"erythrocyte membrane protein 1, PfEMP1 (VAR)",95.570472,1.9803237308919757,PFD0625c,C,a3.2,3
31,PF3D7_0412700,AA1716_3D7,AA17_3D7,AA17,AA,3D7,48,"erythrocyte membrane protein 1, PfEMP1 (VAR)",72.06412399999999,1.857719111785924,PFD0625c,C,a3.2,3
32,PF3D7_0412700,AS1501_3D7,AS15_3D7,AS15,AS,3D7,3,"erythrocyte membrane protein 1, PfEMP1 (VAR)",679.637654,2.8322774321031474,PFD0625c,C,a3.2,3
33,PF3D7_0412700,AS1502_3D7,AS15_3D7,AS15,AS,3D7,6,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1018.926886,3.0081430219397385,PFD0625c,C,a3.2,3
34,PF3D7_0412700,AS1503_3D7,AS15_3D7,AS15,AS,3D7,9,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1609.186175,3.2066062927613888,PFD0625c,C,a3.2,3
35,PF3D7_0412700,AS1504_3D7,AS15_3D7,AS15,AS,3D7,12,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2025.8719030000002,3.3066119812123036,PFD0625c,C,a3.2,3
36,PF3D7_0412700,AS1505_3D7,AS15_3D7,AS15,AS,3D7,15,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2580.477882,3.4117001409620578,PFD0625c,C,a3.2,3
37,PF3D7_0412700,AS1506_3D7,AS15_3D7,AS15,AS,3D7,18,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2729.089144,3.436017721860806,PFD0625c,C,a3.2,3
38,PF3D7_0412700,AS1507_3D7,AS15_3D7,AS15,AS,3D7,21,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2682.164852,3.428485467070282,PFD0625c,C,a3.2,3
39,PF3D7_0412700,AS1508_3D7,AS15_3D7,AS15,AS,3D7,24,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2422.291936,3.384226483379036,PFD0625c,C,a3.2,3
40,PF3D7_0412700,AS1509_3D7,AS15_3D7,AS15,AS,3D7,27,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2129.206189,3.328217719873741,PFD0625c,C,a3.2,3
41,PF3D7_0412700,AS1510_3D7,AS15_3D7,AS15,AS,3D7,30,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1936.764936,3.287076913856456,PFD0625c,C,a3.2,3
42,PF3D7_0412700,AS1511_3D7,AS15_3D7,AS15,AS,3D7,33,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1670.870978,3.222942915658802,PFD0625c,C,a3.2,3
43,PF3D7_0412700,AS1512_3D7,AS15_3D7,AS15,AS,3D7,36,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1046.697203,3.0198210636410807,PFD0625c,C,a3.2,3
44,PF3D7_0412700,AS1513_3D7,AS15_3D7,AS15,AS,3D7,39,"erythrocyte membrane protein 1, PfEMP1 (VAR)",581.1682,2.764301842820828,PFD0625c,C,a3.2,3
45,PF3D7_0412700,AS1514_3D7,AS15_3D7,AS15,AS,3D7,42,"erythrocyte membrane protein 1, PfEMP1 (VAR)",374.799805,2.5737993562620427,PFD0625c,C,a3.2,3
46,PF3D7_0412700,AS1515_3D7,AS15_3D7,AS15,AS,3D7,45,"erythrocyte membrane protein 1, PfEMP1 (VAR)",140.06447,2.146327982252988,PFD0625c,C,a3.2,3
47,PF3D7_0412700,AS1516_3D7,AS15_3D7,AS15,AS,3D7,48,"erythrocyte membrane protein 1, PfEMP1 (VAR)",119.160729,2.076133151472419,PFD0625c,C,a3.2,3
48,PF3D7_0412700,AS1601_3D7,AS16_3D7,AS16,AS,3D7,3,"erythrocyte membrane protein 1, PfEMP1 (VAR)",750.216999,2.8751869005081954,PFD0625c,C,a3.2,3
49,PF3D7_0412700,AS1602_3D7,AS16_3D7,AS16,AS,3D7,6,"erythrocyte membrane protein 1, PfEMP1 (VAR)",971.952651,2.9876451086399656,PFD0625c,C,a3.2,3
50,PF3D7_0412700,AS1603_3D7,AS16_3D7,AS16,AS,3D7,9,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1909.7721190000002,3.280981548731929,PFD0625c,C,a3.2,3
51,PF3D7_0412700,AS1604_3D7,AS16_3D7,AS16,AS,3D7,12,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2253.799408,3.3529152604787944,PFD0625c,C,a3.2,3
52,PF3D7_0412700,AS1605_3D7,AS16_3D7,AS16,AS,3D7,15,"erythrocyte membrane protein 1, PfEMP1 (VAR)",2753.950154,3.43995607534042,PFD0625c,C,a3.2,3
